,H1,H2,lnD1,lnD2,lnD3,lnD4,lnD5,lnD6,E1,E2,E3,SN
0,74,351,-1.090703645,-1.644029357,-2.19867563,-2.418894215,-2.975537566,-3.10532395,7621,340,160,4.889232586
1,97,226,-1.077604506,-1.760493387,-2.305689908,-2.545038893,-3.146322632,-3.273596037,1517,494,190,3.2000274
2,220,287,-0.917942095,-1.339258115,-1.731662045,-1.971412589,-2.41128451,-2.59924064,1356,209,100,3.98206492
3,60,538,-0.734115019,-1.342775207,-1.879869631,-2.063017163,-2.561355822,-2.676115583,7492,239,105,5.049684914
4,40,578,-1.050622445,-1.746575801,-2.112956961,-2.270117903,-2.635404011,-2.831574687,7074,499,119,6.462977126
5,181,316,-1.47390228,-1.772133328,-2.099889177,-2.318104905,-2.64324609,-2.922667703,4513,440,134,6.758526477
6,63,266,-0.424388022,-0.824509499,-1.211333159,-1.561505259,-1.858797111,-2.047167981,5531,355,58,3.635492787
7,240,434,-1.378762795,-1.571901309,-1.785101682,-1.951435385,-2.183025858,-2.393933132,5017,270,81,8.532349086
8,121,511,-0.896978421,-1.094759719,-1.306042445,-1.437292962,-1.644029357,-1.79275997,7490,416,42,7.921625372
9,199,555,-1.537954811,-1.807157411,-2.088684123,-2.268183666,-2.531369524,-2.754198857,4816,379,111,9.04398122
10,126,151,-1.200678237,-1.596521687,-2.136223556,-2.420805724,-3.034473102,-3.196625216,5908,207,170,4.106125624
11,183,218,-1.49923912,-1.765098064,-2.10365227,-2.352721162,-2.756872866,-3.02742936,6024,332,147,6.449969876
12,166,594,-1.269685348,-1.801931025,-2.185157676,-2.351145284,-2.658546006,-2.901877698,1610,429,127,7.081328505
13,150,196,-1.422584971,-1.708264267,-2.095570924,-2.360850001,-2.816749618,-3.100648444,7444,337,152,5.953353984
14,75,442,-0.98972201,-1.719866806,-2.363609795,-2.560061323,-3.202018708,-3.278095185,3967,286,189,4.555030018
15,248,461,-1.222917799,-1.5456184,-1.843705608,-2.043534003,-2.372900267,-2.591467886,2243,237,96,6.425445132
16,179,347,-1.215944176,-1.431291727,-1.675417471,-1.848520315,-2.098420508,-2.32237972,5065,440,76,7.261909782
17,148,451,-1.001276888,-1.207311706,-1.450214407,-1.609437912,-1.863620736,-2.045697336,6129,340,56,7.345703139
18,124,229,-0.955967549,-1.198388426,-1.542620739,-1.789821349,-2.192834229,-2.407945609,8466,284,83,5.548748114
19,67,453,-0.71539279,-1.103644931,-1.40417324,-1.559505544,-1.853613597,-2.005150729,6210,406,56,5.557923749
20,147,285,-0.993603835,-1.215674334,-1.541452215,-1.790060913,-2.182582301,-2.403842925,7567,166,83,5.714921535
21,108,381,-1.232440868,-1.65412152,-2.172258831,-2.418444979,-2.958051207,-3.110694292,6902,276,160,5.621944112
22,133,177,-0.552463924,-0.889746177,-1.246741136,-1.601420141,-1.910948493,-2.122265539,1680,491,63,3.266167907
23,162,336,-0.750861043,-1.390503206,-2.031947455,-2.277404794,-2.972992787,-3.058885089,1047,156,149,2.944814247
24,187,479,-1.426075231,-2.015303101,-2.479919108,-2.689130316,-3.084344932,-3.394122468,1644,413,200,6.305582323
25,45,158,-0.487174203,-1.214460946,-1.901462734,-2.463223439,-2.543129159,-2.818423259,8201,247,125,2.400268369
26,156,471,-1.687723831,-2.030956186,-2.430304835,-2.657832485,-3.021255231,-3.318143827,6487,408,189,8.216674089
27,82,446,-0.763076204,-1.256038327,-1.637580218,-1.819171777,-2.194538189,-2.349571884,3049,342,79,4.823356825
28,170,232,-1.614852545,-1.857450654,-2.177363128,-2.417210619,-2.759711984,-3.060377467,8523,430,154,7.483346817
29,112,483,-1.164944417,-1.569496305,-2.016053682,-2.226828481,-2.662837858,-2.816080945,5501,304,122,6.21330333
30,218,459,-1.407844915,-1.605844377,-1.851382093,-2.048020397,-2.318511244,-2.562392629,6084,207,96,8.276857127
31,81,325,-1.017963611,-1.617570896,-2.31942611,-2.545803809,-3.270169119,-3.332324517,6725,223,193,4.147417975
32,87,526,-1.068742855,-1.903876089,-2.374188512,-2.560837821,-3.052514288,-3.282081901,1029,447,179,5.390325546
33,42,410,-0.08408838,-0.568719602,-0.921705365,-1.216517832,-1.419892511,-1.599141107,7474,216,38,3.558126449
34,123,360,-0.567695844,-0.896831301,-1.170763715,-1.340136229,-1.632092603,-1.802961984,1745,394,47,4.505392585
35,85,563,-1.118315121,-1.546087597,-1.888292396,-2.037455425,-2.345596984,-2.526729145,5769,456,88,7.135493569
36,216,370,-1.352395476,-1.787130201,-2.180013541,-2.408056726,-2.834293928,-3.081508051,2031,322,151,5.709040729
37,201,184,-1.072798354,-1.234328924,-1.461578409,-1.662838689,-1.953901999,-2.188631603,6578,202,69,6.5646136
38,212,214,-0.790385217,-0.892086043,-1.038712635,-1.166163343,-1.350078157,-1.531551374,7620,260,36,7.792684614
39,120,481,-0.750373832,-1.358329061,-1.846997375,-2.043379659,-2.520243714,-2.652993995,1294,248,105,4.261252193
40,59,413,-0.73459437,-1.543462924,-2.24422185,-2.431783031,-3.146090155,-3.18616665,4894,223,170,3.75029482
41,102,275,-1.070462245,-1.662627741,-2.220175957,-2.45212973,-3.035513144,-3.16462441,2717,355,170,3.808317336
42,151,290,-1.462441334,-1.924148657,-2.379790164,-2.617981004,-3.104877721,-3.367085852,3093,475,194,5.290360245
43,223,328,-1.883480099,-2.118099213,-2.389123854,-2.599106114,-2.893356207,-3.156135795,7494,421,174,9.462479081
44,196,276,-1.402464394,-1.607839191,-1.863556268,-2.065223104,-2.345805795,-2.599778926,6391,376,101,7.553930296
45,71,522,-1.040777437,-1.684269223,-2.25217719,-2.440813212,-2.978678519,-3.08521944,5908,312,158,5.597392832
46,169,209,-0.768086267,-1.074700469,-1.451964189,-1.707050741,-2.145410419,-2.354720847,2626,197,78,3.825151793
47,47,387,-0.974635143,-1.60479869,-2.049028735,-2.253128484,-2.716284006,-2.865406012,8448,448,130,4.8861504
48,203,253,-0.900097552,-1.024042994,-1.201376178,-1.356619061,-1.5838189,-1.778566875,7328,204,46,7.368406501
49,124,377,-0.981629573,-1.266202881,-1.603505544,-1.808437782,-2.162040848,-2.341949817,5787,313,78,5.905317952
50,238,300,-1.275075042,-1.479594562,-1.68961813,-1.850872734,-2.080802467,-2.292832802,3968,425,75,7.458105054
51,95,480,-0.979230532,-1.47451374,-1.895388152,-2.079441542,-2.480157943,-2.62693115,3426,350,103,5.476813395
52,203,349,-1.602710592,-1.914469623,-2.276040538,-2.523605899,-2.893356207,-3.207935885,4669,288,173,6.994867877
53,195,213,-1.286702452,-1.456416441,-1.687777904,-1.885784475,-2.155113814,-2.405504147,7674,335,85,7.525664812
54,70,597,-0.905795995,-1.538746484,-2.105785517,-2.285727976,-2.807097355,-2.908637567,5772,264,132,5.659994528
55,242,540,-1.906631745,-2.10808796,-2.34101412,-2.528983937,-2.786606514,-3.019615214,8453,305,151,11.61658256
56,235,354,-1.623486128,-1.917322692,-2.267121429,-2.539320598,-2.935013539,-3.284481582,4538,161,190,6.790523171
57,200,290,-1.250889724,-1.859053784,-2.355036953,-2.594141327,-3.134075223,-3.398600756,1285,343,194,4.32246479
58,187,590,-1.574360386,-1.869245448,-2.160651597,-2.330778827,-2.587737036,-2.801482146,4642,446,115,9.362802954
59,183,375,-1.362890383,-1.877121298,-2.32933983,-2.556058994,-3.030737883,-3.280751229,1915,376,179,5.447465163
60,184,209,-1.286050915,-1.600924257,-2.013279339,-2.296006778,-2.795734532,-3.014915093,4250,157,148,4.841707496
61,225,275,-1.537349836,-1.897453374,-2.280041129,-2.536536843,-2.929008642,-3.260740029,3205,266,180,5.880444121
62,154,380,-0.724348932,-0.967689295,-1.17642249,-1.309814917,-1.532893625,-1.702375908,2282,497,41,5.774066363
63,66,475,-1.058142356,-1.742969305,-2.331910922,-2.524729144,-3.097322129,-3.197114333,6286,326,176,5.282526302
64,157,572,-1.672484214,-2.02973751,-2.418669572,-2.62485861,-2.960172098,-3.229684024,5717,428,173,8.890628674
65,141,337,-1.061605563,-1.428450579,-1.867820116,-2.114530004,-2.588269163,-2.768118728,3832,239,116,4.885833771
66,196,202,-1.057451152,-1.404499066,-1.814250507,-2.0837709,-2.566420439,-2.77402976,2532,172,117,4.041467872
67,176,324,-1.434140971,-1.656005548,-1.962191982,-2.200389581,-2.570333828,-2.830387341,8060,228,123,7.403874869
68,194,178,-1.071133318,-1.216652857,-1.41943758,-1.597459936,-1.856169999,-2.071473372,7307,431,62,7.256588769
69,79,566,-1.380431581,-1.984276827,-2.463928243,-2.637917979,-3.008209795,-3.293599371,5815,490,181,7.19036189
70,96,209,-1.044720872,-1.567145,-2.102751111,-2.349886366,-2.924156075,-3.07067136,3569,415,154,3.614463946
71,89,527,-0.664792987,-1.133452212,-1.584403895,-1.770252413,-2.187472286,-2.326365622,3931,219,75,4.813557187
72,78,438,-0.87275243,-1.36011992,-1.783493725,-1.974361065,-2.384771764,-2.53691599,4981,336,94,5.120928769
73,126,310,-1.052597401,-1.688751719,-2.160478076,-2.386510328,-2.896248995,-3.048922102,1221,438,156,3.970927791
74,113,478,-0.494411082,-0.804145783,-1.140278389,-1.319944981,-1.646257511,-1.80393327,3610,197,45,4.699397708
75,199,478,-1.744170026,-2.024726109,-2.365844433,-2.606261055,-2.957473561,-3.257616653,6447,293,183,8.766184123
76,164,214,-1.133949353,-1.55955311,-2.055256375,-2.324728458,-2.881154369,-3.053149544,2671,226,151,3.922137552
77,136,245,-0.196270391,-0.564877104,-0.969190579,-1.341359237,-1.609187944,-1.78557861,1388,167,47,2.617895964
78,40,247,-0.738625834,-1.357629162,-1.849219105,-2.087554362,-2.631922841,-2.78401374,7180,456,117,3.341608505
79,185,571,-1.268582439,-1.418817553,-1.588606403,-1.721823043,-1.889747231,-2.039913184,7844,428,52,10.56726106
80,210,164,-1.317141502,-1.594894187,-1.907439717,-2.14447085,-2.521612129,-2.783690115,3552,434,118,5.46665924
81,160,412,-1.172829498,-1.420347648,-1.763288637,-2.009840855,-2.410838678,-2.621138829,6490,175,102,6.352590265
82,111,437,-1.088889707,-1.558412154,-2.139871183,-2.390760784,-3.000141982,-3.127208636,5053,211,160,5.0484845
83,214,281,-1.776614732,-1.996793001,-2.280921453,-2.514912352,-2.838386703,-3.13017837,8308,252,170,8.583178752
84,139,491,-0.907925816,-1.072652187,-1.252043228,-1.376383635,-1.546275337,-1.69876105,7143,457,38,8.375164078
85,201,482,-1.072009307,-1.247576442,-1.41259727,-1.533774009,-1.697013085,-1.845160246,4114,490,44,8.621306181
86,186,298,-0.514666323,-0.717849793,-0.916115747,-1.058632248,-1.285616793,-1.448382553,2047,407,33,5.074652187
87,165,492,-1.218511311,-1.590321795,-2.029813633,-2.27759984,-2.751845361,-2.926392795,3488,216,135,5.915617511
88,71,222,-0.359579157,-0.752982114,-1.181168152,-1.570409525,-1.843010659,-2.084574694,5006,312,59,3.272683631
89,99,398,-0.87303969,-1.470981169,-1.89758676,-2.101441782,-2.544784051,-2.700677447,1484,378,112,4.325690715
90,224,492,-1.35848466,-1.680611732,-2.029433072,-2.266928416,-2.666284652,-2.919512248,3077,205,130,6.629658338
91,178,552,-0.989856543,-1.278732271,-1.500045536,-1.626634937,-1.838788186,-1.985150062,2198,438,51,7.351801928
92,190,309,-1.532384283,-1.743083597,-2.028444291,-2.258185506,-2.576495761,-2.861725994,8245,243,129,7.91856697
93,60,491,-1.262697149,-1.935445099,-2.416762138,-2.60166521,-3.072613318,-3.299272762,6932,491,181,6.190360614
94,161,543,-1.589782355,-1.886575771,-2.205458382,-2.38792514,-2.669166083,-2.902424096,6077,457,128,9.048195261
95,108,200,-0.342870663,-0.597946098,-0.94803943,-1.294043401,-1.601618563,-1.816154626,5131,243,46,3.814745043
96,126,337,-0.846624754,-1.339296278,-1.94869402,-2.211556795,-2.872983808,-2.990147895,2860,153,138,3.539658378
97,164,311,-1.04679813,-1.236358264,-1.503277717,-1.715242971,-2.034927172,-2.240643691,7328,219,72,6.618837911
98,178,437,-1.46356425,-1.713687934,-2.032634295,-2.258281167,-2.621276352,-2.863651933,6616,266,125,7.801502552
