H1,H2,D1,D2,D3,D4,D5,D6,E1,E2,E3,,,,,,,
74,351,0.33598,0.1932,0.11095,0.08902,0.05102,0.04481,7621,340,160,,,,,,,
97,226,0.34041,0.17196,0.09969,0.07847,0.04301,0.03787,1517,494,190,,,,,,,
220,287,0.39934,0.26204,0.17699,0.13926,0.0897,0.07433,1356,209,100,,,,,,,
60,538,0.47993,0.26112,0.15261,0.12707,0.0772,0.06883,7492,239,105,,,,,,,
40,578,0.34972,0.17437,0.12088,0.1033,0.07169,0.05892,7074,499,119,,,,,,,
181,316,0.22903,0.16997,0.12247,0.09846,0.07113,0.05379,4513,440,134,,,,,,,
63,266,0.65417,0.43845,0.2978,0.20982,0.15586,0.1291,5531,355,58,,,,,,,
240,434,0.25189,0.20765,0.16778,0.14207,0.1127,0.09127,5017,270,81,,,,,,,
121,511,0.4078,0.33462,0.27089,0.23757,0.1932,0.1665,7490,416,42,,,,,,,
199,555,0.21482,0.16412,0.12385,0.1035,0.07955,0.06366,4816,379,111,,,,,,,
126,151,0.30099,0.2026,0.1181,0.08885,0.0481,0.0409,5908,207,170,,,,,,,
183,218,0.2233,0.17117,0.12201,0.09511,0.06349,0.04844,6024,332,147,,,,,,,
166,594,0.28092,0.16498,0.11246,0.09526,0.07005,0.05492,1610,429,127,,,,,,,
150,196,0.24109,0.18118,0.123,0.09434,0.0598,0.04502,7444,337,152,,,,,,,
75,442,0.37168,0.17909,0.09408,0.0773,0.04068,0.0377,3967,286,189,,,,,,,
248,461,0.29437,0.21318,0.15823,0.12957,0.09321,0.07491,2243,237,96,,,,,,,
179,347,0.29643,0.239,0.18723,0.15747,0.12265,0.09804,5065,440,76,,,,,,,
148,451,0.36741,0.299,0.23452,0.2,0.15511,0.12929,6129,340,56,,,,,,,
124,229,0.38444,0.30168,0.21382,0.16699,0.1116,0.09,8466,284,83,,,,,,,
67,453,0.489,0.33166,0.24557,0.21024,0.15667,0.13464,6210,406,56,,,,,,,
147,285,0.37024,0.29651,0.21407,0.16695,0.11275,0.09037,7567,166,83,,,,,,,
108,381,0.29158,0.19126,0.11392,0.08906,0.05192,0.04457,6902,276,160,,,,,,,
133,177,0.57553,0.41076,0.28744,0.20161,0.14794,0.11976,1680,491,63,,,,,,,
162,336,0.47196,0.24895,0.13108,0.10255,0.05115,0.04694,1047,156,149,,,,,,,
187,479,0.24025,0.13328,0.08375,0.06794,0.04576,0.03357,1644,413,200,,,,,,,
45,158,0.61436,0.29687,0.14935,0.08516,0.07862,0.0597,8201,247,125,,,,,,,
